date,service_period,forecast_covers,actual_covers,forecast_sales,actual_sales,reservation_count,walk_in_ratio,delivery_order_volume,promo_flag,local_event_flag,weather_impact_score,is_holiday_x,is_weekend,is_holiday_y,holiday_name,is_holiday_eve,is_long_weekend,is_school_break,is_payday_window,season,tourism_pressure_score,forecast_required_headcount_total,required_headcount_total,forecast_required_role_garzon,forecast_required_role_host,forecast_required_role_cajero,forecast_required_role_cocinero_linea,forecast_required_role_ayudante_cocina,forecast_required_role_runner,forecast_required_role_copero,forecast_required_role_jefe_turno,required_role_garzon,required_role_host,required_role_cajero,required_role_cocinero_linea,required_role_ayudante_cocina,required_role_runner,required_role_copero,required_role_jefe_turno,scheduled_headcount_total,scheduled_overtime_hours,scheduled_avg_consecutive_work_days,scheduled_avg_demand_pressure,scheduled_delivery_orders_seen,scheduled_role_ayudante_cocina,scheduled_role_cajero,scheduled_role_cocinero_linea,scheduled_role_copero,scheduled_role_garzon,scheduled_role_host,scheduled_role_jefe_turno,scheduled_role_runner,actual_headcount_total,actual_overtime_hours,actual_avg_consecutive_work_days,actual_avg_demand_pressure,actual_delivery_orders_seen,actual_role_ayudante_cocina,actual_role_cajero,actual_role_cocinero_linea,actual_role_copero,actual_role_garzon,actual_role_host,actual_role_jefe_turno,actual_role_runner,avg_hr_mean_bpm,avg_hrv_rmssd_ms,avg_sleep_duration_hours,avg_sleep_efficiency_pct,avg_stress_score,avg_steps,avg_fatigue_proxy,avg_age,avg_bmi,avg_distance_to_work_km,cross_trained_available,absent_count_total,short_notice_absent_count,absentee_rate,short_notice_absentee_rate,deficit_count_total,has_deficit_total,deficit_role_garzon,has_deficit_role_garzon,deficit_role_cocinero_linea,has_deficit_role_cocinero_linea,deficit_role_jefe_turno,has_deficit_role_jefe_turno,day_of_week,is_friday,is_weekend_flag,is_peak_service,forecast_covers_lag1,forecast_covers_lag7,forecast_sales_lag1,forecast_sales_lag7,reservation_count_lag1,reservation_count_lag7,delivery_order_volume_lag1,delivery_order_volume_lag7,absentee_rate_lag1,absentee_rate_lag7,short_notice_absentee_rate_lag1,short_notice_absentee_rate_lag7,actual_headcount_total_lag1,actual_headcount_total_lag7,deficit_count_total_lag1,deficit_count_total_lag7
2025-07-01,11_13,22,22,378900,380685,4,0.67,7,False,False,0.03,False,False,False,0,False,False,True,True,winter,0.65,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,1.0,0.586,7.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,0.0,1.0,0.586,7.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,77.59,32.32,6.44,76.31,58.2,11930.2,34.480000000000004,28.3,27.51,9.36,4,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-02,11_13,30,31,483000,502082,9,0.65,6,True,False,-0.1,False,False,False,0,False,False,True,True,winter,0.65,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.9,1.8,0.8,6.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,0.9,1.8,0.8,6.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,76.78,34.12,6.63,77.47,63.42,11318.0,36.43,28.5,27.93,8.68,2,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,2,0,0,0,22.0,0.0,378900.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-07-03,11_13,26,26,454700,467518,8,0.65,9,True,False,-0.02,False,False,False,0,False,False,True,False,winter,0.65,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,1.1,2.4,0.694,9.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,1.1,2.4,0.694,9.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,77.22,34.94,6.81,76.7,60.3,10563.0,35.28,30.6,26.919999999999998,5.88,3,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,3,0,0,0,30.0,0.0,483000.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-07-04,11_13,28,27,464100,457352,4,0.6,7,False,False,0.0,False,False,False,0,False,False,True,False,winter,0.65,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,2.2,0.746,7.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,0.0,2.2,0.746,7.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,76.08,34.96,6.93,77.7,58.160000000000004,10392.2,34.769999999999996,30.4,26.77,8.180000000000001,4,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,4,1,0,0,26.0,0.0,454700.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-07-05,11_13,37,34,591900,502888,9,0.57,7,False,False,-0.08,False,True,False,0,False,False,True,False,winter,0.65,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.4,3.4,0.986,7.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,0.4,3.4,0.986,7.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,77.22,32.69,6.659999999999999,75.87,71.01,11058.7,44.39,27.2,29.919999999999998,8.49,3,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,5,0,1,0,28.0,0.0,464100.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-07-06,11_13,34,35,596800,578086,9,0.54,12,False,False,-0.01,False,True,False,0,False,False,True,False,winter,0.65,11,11,2,1,1,2,2,1,1,1,2,1,1,2,2,1,1,1,11,0.0,3.6363636363636362,0.8245454545454544,12.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,11,0.0,3.6363636363636362,0.8245454545454544,12.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,77.61818181818181,32.43636363636364,6.645454545454545,76.13636363636364,71.84545454545454,10655.727272727272,46.14545454545455,30.272727272727273,25.89090909090909,5.118181818181818,5,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,6,0,1,0,37.0,0.0,591900.0,0.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-07-07,11_13,22,23,378900,373950,6,0.56,7,False,False,0.08,False,False,False,0,False,False,True,False,winter,0.65,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,3.5,0.586,7.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,0.0,3.5,0.586,7.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,77.28999999999999,33.730000000000004,6.609999999999999,76.28999999999999,62.6,11043.1,41.269999999999996,30.1,25.15,7.480000000000001,3,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,34.0,0.0,596800.0,0.0,9.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
2025-07-08,11_13,27,27,449900,420372,8,0.56,7,True,False,-0.11,False,False,False,0,False,False,True,False,winter,0.65,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,4.4,0.72,7.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,0.0,4.4,0.72,7.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,77.5,33.32,6.65,75.02000000000001,70.11,11206.2,48.68,30.7,28.4,8.48,3,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,22.0,22.0,378900.0,378900.0,6.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-07-09,11_13,25,25,374000,378360,12,0.55,2,False,False,-0.04,False,False,False,0,False,False,True,False,winter,0.65,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.7,4.3,0.666,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,9,0.7,3.7777777777777777,0.6933333333333332,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,77.27000000000001,32.6,6.4799999999999995,76.53,67.09,10486.5,47.230000000000004,33.0,27.130000000000003,7.15,3,1.0,0.0,0.1,0.0,1,1,1.0,1,0.0,0,0.0,0,2,0,0,0,27.0,30.0,449900.0,483000.0,8.0,9.0,7.0,6.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-07-10,11_13,29,34,459300,550268,4,0.42,5,True,False,0.03,False,False,False,0,False,False,True,False,winter,0.65,10,10,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,10,0.0,4.5,0.774,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10,0.0,4.5,0.774,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,76.92,33.32,6.67,76.19,67.6,10633.1,49.17,28.9,26.589999999999996,6.7700000000000005,5,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,3,0,0,0,25.0,26.0,374000.0,454700.0,12.0,8.0,2.0,9.0,0.1,0.0,0.0,0.0,9.0,10.0,1.0,0.0
